JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
LOS ANGELES,2019,Incentives to Conserve Energy,"50,000 low income households obtain more 
energy-efficient refrigerators; 
2,000 households retire non-energy 
efficient refrigerators annually.",2013-2021,LADWP continues to offer the same programs for refrigerator exchanges and recycling. In FY 18-19 over 5000 inefficient refrigerators were retired.
LOS ANGELES,2019,SurveyLA - The Los Angeles Historic Resources Survey,Complete citywide survey; Publish results.,2013-2021,"In 2019, the Office of Historic Resources reached a milestone of incorporating all data from SurveyLA, the Los Angeles Historic Resources Survey Project, into Historic Places LA, Los Angeles' citywide historic resources inventory and cultural resource management system. The OHR has also begun work, in coordination with the Getty Conservation Institute, to upgrade Historic Places LA to a new, more user-friendly version, to be launched during 2020.

In addition, the Asian Americans in Los Angeles Historic Context Statements won the 
2019 Conservancy Preservation Award from the Los Angeles Conservancy."
LOS ANGELES,2019,Density Bonus,Create 375 non-subsidized very low income units; Create 750 non-subsidized low income units; Create 187 non-subsidized moderate income units; Make revisions to the density bonus provisions in the Code and the Affordable Housing Incentives Program Guidelines.,2013-2021,"In 2019, 59 discretionary cases filed for 4,501 total proposed units. These units include the following by income category: 2,936 Market, 1 ELI, 532 VLI, 1,017 LI, 15 Moderate Income."
LOS ANGELES,2019,Downtown Affordable Housing Bonus,"300 moderate, 225 low, and 225 very low income affordable units; Study whether program is meeting objectives and ways to make improvements.",2013-2021,Affordable housing in the Downtown community plan area will be further incentivized through a revised community benefit system in the updated plan.
LOS ANGELES,2019,Citywide Fair Housing Program,"Receive 7,310 fair housing inquiries annually; Resolve 413 fair housing investigations annually; Conduct 67 fair housing training sessions annually; Train 35 new fair housing testers annually; Maintain the Housing/Predatory Lending Hotline",2013-2021,"For the period of 1/1/2019 – 9/30/2019, HRC responded to 6,222 inquires; managed 828 successful conciliations; resolved 761 fair housing investigations; conducted 20 fair housing training sessions; trained 23 new testers, and maintained the Housing/Predatory Lending Hotline."
LOS ANGELES,2019,New Resources for Rental Assistance,Increase the funding base for rental assistance for homeless households and households at high risk of homelessness.,2013-2021,"Rapid-Rehousing accounts for 1/5 of Measure H funds, or $73 million per year. Additionally, the Mayor’s Innovation Team launched the LA ADU Accelerator Program to provide financial incentives to homeowners who rent an Accessory Dwelling Unit (ADU) to residents in need. The pilot program, funded by a grant from Bloomberg Philanthropies with a financial match from the City, is open to homeowners with an existing ADU or to those who build one new. The program focuses on serving vulnerable seniors and offers subsidies to supplement the affordable rents."
LOS ANGELES,2019,City Homeless Coordinator,Periodic reports on homeless housing and service delivery and recommendations for improvement.,2013-2021,"In the 2019 Homeless Count, there were an estimated 58,936 people experiencing homelessness in the County of Los Angeles, 36,165 in the City of Los Angeles (a 12% and 16% increase, respectively). Approximately 75% of the City and County's homeless population is unsheltered."
LOS ANGELES,2019,Zoning for Health Facilities,Adopt amendment to Zoning Code to remove restrictions on locations of public health and treatment program facilities.,2013-2021,No activity in 2019.
LOS ANGELES,2019,Technical Assistance to Homeless Housing Providers,Technical assistance provided to 20 providers annually,2013-2021,"Due to COVID-19 response, LAHSA is delayed in reporting. A separate report of LAHSA programs will be sent by April 10th."
LOS ANGELES,2019,Advocate for Housing Funds,Support State and Federal bills that provide funds for affordable housing development and preservation in Los Angeles City in each legislative session; Increase the Affordable Housing Trust Fund.,2013-2021,"The Affordable Housing Linkage fee was adopted in 2017, and began phasing in in 2018. In 2019, the Affordable Housing Linkage fee generated a total of $15,117,899 in revenue to the CIty's new Housing Impact Trust Fund, to support the creation and preservation of affordable housing in the City.

HCIDLA continues to advocate for new funding for new production and preservation; City of L.A. applied for State funding opportunities such as NPLH, SB 2, MHP, AHSC, and IIG; the City will continue to support an extension of the State tax credit for an additional $500M as part of AB 101; AB 101 was approved in 2019, HCIDLA advocated for the approval and will continue to do so for a new amount for 2020"
LOS ANGELES,2019,Downtown TFAR Public Benefit Fee,$20 million for affordable housing development; Evaluate whether changes are needed as part of the re:code:LA Unified Downtown Development Code (Program 66).,2013-2021,"In 2019, there was a single project which proposed transfer of floor area of less than 50,000 square feet. This project would create an additional 48 units of market rate housing. In addition, there were three projects approved with a total of at least 454,277 square feet of transfer development rights. These projects will generate 936 units of market rate housing (31 Condos and 905 market-rate apartments). 

The Downtown LA Community plan update effort will create a new incentive system that requires developers to include affordable housing as a public benefit before TFAR is accessed."
